,Unnamed: 0,cell_ID,x_global_px,y_global_px,x_local_px,y_local_px,z,target,CellComp,cell_type,Run_Tissue_name,z_local_px
0,0,c_1_13_1,-31227.5677777778,31614.5015444444,1800.21,3620.0571,8,HLA-A,Membrane,Podocyte,Run1081_SP17_2566,35.55555555555556
1,1,c_1_13_1,-31167.8277777778,31609.3444444444,1859.95,3614.9,8,TXK,Cytoplasm,Podocyte,Run1081_SP17_2566,35.55555555555556
2,2,c_1_13_1,-31203.2577777778,31622.5497444444,1824.52,3628.1053,4,MALAT1,Nuclear,Podocyte,Run1081_SP17_2566,17.77777777777778
3,3,c_1_13_1,-31214.2177777778,31591.4000444444,1813.56,3596.9556,2,IGFBP7,Cytoplasm,Podocyte,Run1081_SP17_2566,8.88888888888889
4,4,c_1_13_1,-31241.5777777778,31611.8444444444,1786.2,3617.4,7,FFAR4,Membrane,Podocyte,Run1081_SP17_2566,31.11111111111111
5,5,c_1_13_1,-31233.9477777778,31617.4444444444,1793.83,3623.0,7,RPL21,Membrane,Podocyte,Run1081_SP17_2566,31.11111111111111
6,6,c_1_13_1,-31234.1477777778,31609.8944444444,1793.63,3615.45,7,IFIT1,Cytoplasm,Podocyte,Run1081_SP17_2566,31.11111111111111
7,7,c_1_13_1,-31226.1177777778,31610.4044444444,1801.66,3615.96,7,HAVCR2,Cytoplasm,Podocyte,Run1081_SP17_2566,31.11111111111111
8,8,c_1_13_1,-31225.6977777778,31609.3644444444,1802.08,3614.92,7,S100A9,Cytoplasm,Podocyte,Run1081_SP17_2566,31.11111111111111
9,9,c_1_13_1,-31201.8377777778,31606.4844444444,1825.94,3612.04,7,MALAT1,Cytoplasm,Podocyte,Run1081_SP17_2566,31.11111111111111
10,10,c_1_13_1,-31225.7577777778,31610.5944444444,1802.02,3616.15,7,MSMB,Cytoplasm,Podocyte,Run1081_SP17_2566,31.11111111111111
11,11,c_1_13_1,-31236.1777777778,31611.1444444444,1791.6,3616.7,7,SOD2,Cytoplasm,Podocyte,Run1081_SP17_2566,31.11111111111111
12,12,c_1_13_1,-31241.7777777778,31611.5444444444,1786.0,3617.1,7,IFIH1,Membrane,Podocyte,Run1081_SP17_2566,31.11111111111111
